,date,open,high,low,close,flag,ATR
0,2024-07-11 13:45:00+05:30,161.66,161.66,161.17,161.17,12125,
1,2024-07-11 13:50:00+05:30,161.23,161.79,161.16,161.77,49710,
2,2024-07-11 13:55:00+05:30,162.23,162.23,162.23,162.23,11,
3,2024-07-11 14:00:00+05:30,162.23,162.23,162.23,162.23,14,
4,2024-07-11 14:05:00+05:30,162.22,162.22,161.78,162.22,234,
5,2024-07-11 14:10:00+05:30,162.0,162.22,161.78,161.78,405,
6,2024-07-11 14:15:00+05:30,162.22,162.22,162.22,162.22,1,
7,2024-07-11 14:20:00+05:30,161.78,162.22,161.38,161.76,819,
8,2024-07-11 14:25:00+05:30,161.76,161.91,161.75,161.91,176,
9,2024-07-11 14:30:00+05:30,161.91,161.91,161.5,161.88,62,
10,2024-07-11 14:35:00+05:30,161.48,161.95,161.47,161.9,465,
11,2024-07-11 14:40:00+05:30,161.9,161.9,161.55,161.55,226,
12,2024-07-11 14:45:00+05:30,161.95,161.95,161.55,161.9,556,
13,2024-07-11 14:50:00+05:30,161.9,161.9,161.4,161.9,1463,
14,2024-07-11 14:55:00+05:30,161.88,161.9,161.51,161.51,301,0.4242428315053219
15,2024-07-11 15:00:00+05:30,161.9,161.9,161.8,161.8,115,0.42059751105661775
16,2024-07-11 15:05:00+05:30,161.94,161.99,161.8,161.95,221,0.39687999401619967
17,2024-07-11 15:10:00+05:30,161.95,161.99,161.6,161.99,546,0.3961939286620238
18,2024-07-11 15:15:00+05:30,161.95,161.99,161.61,161.84,3398,0.3946235155835815
19,2024-07-11 15:20:00+05:30,161.83,161.99,161.0,161.99,2941,0.45092214905173633
20,2024-07-11 15:25:00+05:30,161.99,161.99,161.51,161.99,789,0.45360957914235805
21,2024-07-12 09:15:00+05:30,162.48,162.48,161.83,161.83,256,0.4713871438508456
22,2024-07-12 09:20:00+05:30,162.09,162.88,162.09,162.87,127,0.5227827790860664
23,2024-07-12 09:25:00+05:30,162.01,162.3,161.83,162.3,311,0.5679393203395051
24,2024-07-12 09:30:00+05:30,162.86,162.86,161.5,162.84,387,0.6360106959409916
25,2024-07-12 09:35:00+05:30,162.39,162.83,162.39,162.83,65,0.620253238661906
