Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,BANDHANBNK,35133,FUTSTK,XX,-1,BANDHAN BANK LIMITED,BANDHANBNK SEP FUT,BANDHANBNK26SEP24F,2024-09-26,2800,0.01
NFO,nse_fo,BANKBARODA,35134,FUTSTK,XX,-1,BANK OF BARODA,BANKBARODA SEP FUT,BANKBARODA26SEP24F,2024-09-26,2925,0.05
NFO,nse_fo,BATAINDIA,35136,FUTSTK,XX,-1,BATA INDIA LTD,BATAINDIA SEP FUT,BATAINDIA26SEP24F,2024-09-26,375,0.05
NFO,nse_fo,BEL,35149,FUTSTK,XX,-1,BHARAT ELECTRONICS LTD,BEL SEP FUT,BEL26SEP24F,2024-09-26,2850,0.05
NFO,nse_fo,BERGEPAINT,35151,FUTSTK,XX,-1,BERGER PAINTS (I) LTD,BERGEPAINT SEP FUT,BERGEPAINT26SEP24F,2024-09-26,1320,0.05
NFO,nse_fo,BHARATFORG,35156,FUTSTK,XX,-1,BHARAT FORGE LTD,BHARATFORG SEP FUT,BHARATFORG26SEP24F,2024-09-26,500,0.05
NFO,nse_fo,BHARTIARTL,35157,FUTSTK,XX,-1,BHARTI AIRTEL LIMITED,BHARTIARTL SEP FUT,BHARTIARTL26SEP24F,2024-09-26,475,0.05
NFO,nse_fo,BHEL,35180,FUTSTK,XX,-1,BHEL,BHEL SEP FUT,BHEL26SEP24F,2024-09-26,2625,0.05
NFO,nse_fo,BIOCON,35181,FUTSTK,XX,-1,BIOCON LIMITED.,BIOCON SEP FUT,BIOCON26SEP24F,2024-09-26,2500,0.05
NFO,nse_fo,BOSCHLTD,35182,FUTSTK,XX,-1,BOSCH LIMITED,BOSCHLTD SEP FUT,BOSCHLTD26SEP24F,2024-09-26,25,0.05
NFO,nse_fo,BPCL,35186,FUTSTK,XX,-1,BHARAT PETROLEUM CORP  LT,BPCL SEP FUT,BPCL26SEP24F,2024-09-26,1800,0.05
NFO,nse_fo,BRITANNIA,35189,FUTSTK,XX,-1,BRITANNIA INDUSTRIES LTD,BRITANNIA SEP FUT,BRITANNIA26SEP24F,2024-09-26,200,0.05
NFO,nse_fo,BSOFT,35194,FUTSTK,XX,-1,BIRLASOFT LIMITED,BSOFT SEP FUT,BSOFT26SEP24F,2024-09-26,1000,0.05
NFO,nse_fo,CANBK,35196,FUTSTK,XX,-1,CANARA BANK,CANBK SEP FUT,CANBK26SEP24F,2024-09-26,6750,0.01
NFO,nse_fo,CANFINHOME,35199,FUTSTK,XX,-1,CAN FIN HOMES LTD,CANFINHOME SEP FUT,CANFINHOME26SEP24F,2024-09-26,975,0.05
NFO,nse_fo,CHAMBLFERT,35202,FUTSTK,XX,-1,CHAMBAL FERTILIZERS LTD,CHAMBLFERT SEP FUT,CHAMBLFERT26SEP24F,2024-09-26,1900,0.05
NFO,nse_fo,CHOLAFIN,35205,FUTSTK,XX,-1,CHOLAMANDALAM IN & FIN CO,CHOLAFIN SEP FUT,CHOLAFIN26SEP24F,2024-09-26,625,0.05
NFO,nse_fo,NIFTY,35217,OPTIDX,CE,30000,NIFTY,NIFTY 26th DEC 30000 CE,NIFTY26DEC24C30000,2024-12-26,25,0.05
NFO,nse_fo,NIFTY,35218,OPTIDX,PE,30000,NIFTY,NIFTY 26th DEC 30000 PE,NIFTY26DEC24P30000,2024-12-26,25,0.05
NFO,nse_fo,NIFTY,35219,OPTIDX,CE,30000,NIFTY,NIFTY 26th JUN25 30000 CE,NIFTY26JUN25C30000,2025-06-26,25,0.05
NFO,nse_fo,NIFTY,35220,OPTIDX,PE,30000,NIFTY,NIFTY 26th JUN25 30000 PE,NIFTY26JUN25P30000,2025-06-26,25,0.05
NFO,nse_fo,NIFTY,35221,OPTIDX,CE,30000,NIFTY,NIFTY 24th DEC25 30000 CE,NIFTY24DEC25C30000,2025-12-24,25,0.05
NFO,nse_fo,NIFTY,35222,OPTIDX,PE,30000,NIFTY,NIFTY 24th DEC25 30000 PE,NIFTY24DEC25P30000,2025-12-24,25,0.05
NFO,nse_fo,NIFTY,35229,OPTIDX,CE,30000,NIFTY,NIFTY 25th JUN26 30000 CE,NIFTY25JUN26C30000,2026-06-25,25,0.05
NFO,nse_fo,NIFTY,35231,OPTIDX,PE,30000,NIFTY,NIFTY 25th JUN26 30000 PE,NIFTY25JUN26P30000,2026-06-25,25,0.05
NFO,nse_fo,NIFTY,35235,OPTIDX,CE,30000,NIFTY,NIFTY 31st DEC26 30000 CE,NIFTY31DEC26C30000,2026-12-31,25,0.05
NFO,nse_fo,NIFTY,35237,OPTIDX,PE,30000,NIFTY,NIFTY 31st DEC26 30000 PE,NIFTY31DEC26P30000,2026-12-31,25,0.05
NFO,nse_fo,MIDCPNIFTY,35239,FUTIDX,XX,-1,MIDCPNIFTY,MIDCPNIFTY OCT FUT,MIDCPNIFTY28OCT24F,2024-10-28,50,0.05
NFO,nse_fo,CIPLA,35240,FUTSTK,XX,-1,CIPLA LTD,CIPLA SEP FUT,CIPLA26SEP24F,2024-09-26,650,0.05
NFO,nse_fo,COALINDIA,35242,FUTSTK,XX,-1,COAL INDIA LTD,COALINDIA SEP FUT,COALINDIA26SEP24F,2024-09-26,2100,0.05
NFO,nse_fo,COFORGE,35254,FUTSTK,XX,-1,COFORGE LIMITED,COFORGE SEP FUT,COFORGE26SEP24F,2024-09-26,150,0.05
NFO,nse_fo,COLPAL,35255,FUTSTK,XX,-1,COLGATE PALMOLIVE LTD.,COLPAL SEP FUT,COLPAL26SEP24F,2024-09-26,350,0.05
NFO,nse_fo,NIFTY,35262,OPTIDX,CE,30000,NIFTY,NIFTY 24th JUN27 30000 CE,NIFTY24JUN27C30000,2027-06-24,25,0.05
NFO,nse_fo,NIFTY,35263,OPTIDX,PE,30000,NIFTY,NIFTY 24th JUN27 30000 PE,NIFTY24JUN27P30000,2027-06-24,25,0.05
NFO,nse_fo,ATUL,35310,OPTSTK,CE,8750,ATUL LTD,ATUL AUG 8750 CE,ATUL29AUG24C8750,2024-08-29,100,0.05
NFO,nse_fo,ATUL,35311,OPTSTK,PE,8750,ATUL LTD,ATUL AUG 8750 PE,ATUL29AUG24P8750,2024-08-29,100,0.05
NFO,nse_fo,ATUL,35322,OPTSTK,CE,8700,ATUL LTD,ATUL SEP 8700 CE,ATUL26SEP24C8700,2024-09-26,100,0.05
NFO,nse_fo,CONCOR,35323,FUTSTK,XX,-1,CONTAINER CORP OF IND LTD,CONCOR SEP FUT,CONCOR26SEP24F,2024-09-26,1000,0.05
NFO,nse_fo,COROMANDEL,35324,FUTSTK,XX,-1,COROMANDEL INTERNTL. LTD,COROMANDEL SEP FUT,COROMANDEL26SEP24F,2024-09-26,700,0.05
NFO,nse_fo,CROMPTON,35325,FUTSTK,XX,-1,CROMPT GREA CON ELEC LTD,CROMPTON SEP FUT,CROMPTON26SEP24F,2024-09-26,1800,0.05
NFO,nse_fo,CUB,35328,FUTSTK,XX,-1,CITY UNION BANK LTD,CUB SEP FUT,CUB26SEP24F,2024-09-26,5000,0.01
NFO,nse_fo,ATUL,35330,OPTSTK,PE,8700,ATUL LTD,ATUL SEP 8700 PE,ATUL26SEP24P8700,2024-09-26,100,0.05
NFO,nse_fo,NIFTY,35346,OPTIDX,CE,30000,NIFTY,NIFTY 30th DEC27 30000 CE,NIFTY30DEC27C30000,2027-12-30,25,0.05
NFO,nse_fo,NIFTY,35347,OPTIDX,PE,30000,NIFTY,NIFTY 30th DEC27 30000 PE,NIFTY30DEC27P30000,2027-12-30,25,0.05
NFO,nse_fo,NIFTY,35352,OPTIDX,CE,30000,NIFTY,NIFTY 29th JUN28 30000 CE,NIFTY29JUN28C30000,2028-06-29,25,0.05
NFO,nse_fo,NIFTY,35353,OPTIDX,PE,30000,NIFTY,NIFTY 29th JUN28 30000 PE,NIFTY29JUN28P30000,2028-06-29,25,0.05
NFO,nse_fo,CUMMINSIND,35354,FUTSTK,XX,-1,CUMMINS INDIA LTD,CUMMINSIND SEP FUT,CUMMINSIND26SEP24F,2024-09-26,300,0.05
NFO,nse_fo,DABUR,35355,FUTSTK,XX,-1,DABUR INDIA LTD,DABUR SEP FUT,DABUR26SEP24F,2024-09-26,1250,0.05
NFO,nse_fo,DALBHARAT,35360,FUTSTK,XX,-1,DALMIA BHARAT LIMITED,DALBHARAT SEP FUT,DALBHARAT26SEP24F,2024-09-26,275,0.05
NFO,nse_fo,DEEPAKNTR,35363,FUTSTK,XX,-1,DEEPAK NITRITE LTD,DEEPAKNTR SEP FUT,DEEPAKNTR26SEP24F,2024-09-26,300,0.05
NFO,nse_fo,DIVISLAB,35364,FUTSTK,XX,-1,DIVI S LABORATORIES LTD,DIVISLAB SEP FUT,DIVISLAB26SEP24F,2024-09-26,200,0.05
NFO,nse_fo,DIXON,35365,FUTSTK,XX,-1,DIXON TECHNO (INDIA) LTD,DIXON SEP FUT,DIXON26SEP24F,2024-09-26,100,0.05
